Código,Produto,Estoque Físico,Estoque Disponível,Quant. Vendida,Sugestão Compras,Lj Sugestão,Última Venda,Lj Última Venda,Dados Compra,Dados Compra Valor,Dados Compra Data
,,,,,,,Data,,Qtde.,Valor,
,36558,28,28,30,2,11,19/12/2024,11,11/09/2024,240,22.858
,3192,31,31,47,16,11,08/01/2025,11,15/02/2024,240,22.858
,10320,0,-32,295,295,11,18/12/2024,11,20/12/2023,800,146.688
,10318,416,262,1092,676,11,08/01/2025,11,10/09/2024,500,313.152
,12081,0,0,20,20,11,27/05/2024,11,17/01/2024,200,17.673
,202,0,0,40,40,11,16/08/2024,11,05/08/2024,30,1225.0
,11129,17,17,52,35,11,19/12/2024,11,28/10/2024,120,29.195
,5503,0,0,11,11,11,06/01/2025,11,28/11/2024,120,121.871
,41130,0,0,121,121,11,18/12/2024,11,29/05/2024,480,12.01
,8326,0,0,1640,1640,11,25/04/2024,11,19/04/2024,600,34.52
,8327,0,0,1205,1205,11,29/04/2024,11,19/04/2024,1400,10.35
,9684,0,0,42,42,11,28/11/2024,11,19/09/2024,60,14.82
,12365,24,24,5280,5256,11,18/12/2024,11,26/11/2024,1000,11.0
,13242,70,70,230,160,11,13/12/2024,11,21/11/2024,200,16.27
,13241,0,0,145,145,11,09/10/2024,11,25/01/2024,500,14.96
,13125,0,0,150,150,11,29/10/2024,,0,0,
Ges420 Vr: 7.6.0.4 de 18/09/2024 20:05:00,,Siagri Sistemas de Gestão (0xx64)3620-1550,,,,,,,,14:34:04,
